iter	Accuracy	Logloss
350	0.8358163576	0.3598081254
351	0.8356643357	0.3597985188
352	0.83520827	0.359204227
353	0.8361204013	0.3590312811
354	0.8358163576	0.3589560548
355	0.8359683794	0.3587519791
356	0.8370325327	0.3586053483
357	0.836576467	0.3583198019
358	0.8373365765	0.3580950988
359	0.8373365765	0.3580931843
360	0.8373365765	0.3579977711
361	0.8373365765	0.3579977701
362	0.8374885984	0.3578036499
363	0.8371845546	0.3576084916
364	0.8376406202	0.3572642332
365	0.8382487078	0.3569614672
366	0.8376406202	0.355968109
367	0.8380966859	0.3556307923
368	0.8380966859	0.3556307804
369	0.8384007297	0.3555341184
370	0.8384007297	0.3555178093
371	0.8384007297	0.3555178087
372	0.8384007297	0.355476243
373	0.8390088173	0.3548946211
374	0.8391608392	0.3546444507
375	0.8384007297	0.3545971876
376	0.8390088173	0.3543004782
377	0.8391608392	0.3539179465
378	0.8399209486	0.3536606042
379	0.8399209486	0.3536605579
380	0.8396169048	0.3535673141
381	0.8399209486	0.3532532368
382	0.8403770143	0.3529831023
383	0.84083308	0.3525412439
384	0.8403770143	0.3520656717
385	0.8412891456	0.3515296146
386	0.8412891456	0.3515029952
387	0.8417452113	0.351168505
388	0.8420492551	0.350934518
389	0.8418972332	0.350554202
390	0.8414411675	0.3503803339
391	0.8417452113	0.3501575743
392	0.8425053208	0.3500518433
393	0.842201277	0.3497844286
394	0.842201277	0.3495530512
395	0.842201277	0.3494300786
396	0.8423532989	0.349213462
397	0.8423532989	0.3490068129
398	0.8423532989	0.3490066691
399	0.8426573427	0.3489421688
400	0.8434174521	0.3484217444
401	0.8431134083	0.3483258661
402	0.843569474	0.3479875496
403	0.8437214959	0.347427818
404	0.8437214959	0.347068073
405	0.8440255397	0.347057833
406	0.8441775616	0.3468585076
407	0.8443295835	0.3464783375
408	0.8446336272	0.3462959524
409	0.8443295835	0.3461770304
410	0.8453937367	0.3458419653
411	0.8443295835	0.3453501203
412	0.8450896929	0.3451995598
413	0.8450896929	0.3450761154
414	0.8455457586	0.344504755
415	0.846305868	0.3438906879
416	0.8466099118	0.3436789116
417	0.8464578899	0.343651135
418	0.8467619337	0.34341971
419	0.8467619337	0.3431822164
420	0.8475220432	0.3429677785
421	0.8475220432	0.3429440438
422	0.8476740651	0.342832335
423	0.8476740651	0.3427692254
424	0.8481301307	0.3423413604
425	0.8481301307	0.3422331294
426	0.8482821526	0.3419336601
427	0.8482821526	0.3418421652
428	0.8484341745	0.3413302514
429	0.8481301307	0.3412903808
430	0.8484341745	0.3412106388
431	0.8485861964	0.3411586036
432	0.8488902402	0.3410158089
433	0.8484341745	0.3404439337
434	0.8482821526	0.3403657445
435	0.8479781088	0.3400900608
436	0.8488902402	0.3397336326
437	0.8488902402	0.3395027182
438	0.8490422621	0.3393909879
439	0.8490422621	0.3393909764
440	0.8498023715	0.3389113458
441	0.8501064153	0.3386495672
442	0.8501064153	0.3386489194
443	0.8498023715	0.338302282
444	0.8502584372	0.3378120859
445	0.8508665248	0.3374954721
446	0.8516266342	0.337222214
